glm-5.2	394	121	60
glm-5.2	424	189	115
glm-5.2	470	310	243
glm-5.2	416	325	253
glm-5.2	428	335	246
glm-5.2	422	350	251
glm-5.2	1723	228	120
glm-5.2	1786	236	141
glm-5.2	1803	236	149
glm-5.2	2335	343	282
glm-5.2	1755	407	300
glm-5.2	1799	512	506
glm-5.2	1769	324	225
glm-5.2	2310	381	281
glm-5.2	2209	359	253
glm-5.2	2449	350	280
glm-5.2	2054	312	221
glm-5.2	3072	512	510
glm-5.2	2051	321	235
glm-5.2	2869	337	241
glm-5.2	2620	190	104
glm-5.2	2326	352	276
glm-5.2	2220	249	174
glm-5.2	3852	512	508
glm-5.2	444	254	186
glm-5.2	416	324	236
glm-5.2	4345	512	484
glm-5.2	2484	182	130
glm-5.2	450	258	162
glm-5.2	1777	392	296
glm-5.2	5644	512	437
glm-5.2	5195	448	355
glm-5.2	1860	447	337
glm-5.2	2643	243	192
glm-5.2	1871	512	425
glm-5.2	2594	407	316
glm-5.2	6990	512	506
glm-5.2	5873	385	297
glm-5.2	2303	512	508
glm-5.2	2885	439	369
glm-5.2	6536	165	94
glm-5.2	3284	512	502
glm-5.2	3390	512	443
glm-5.2	424	216	154
glm-5.2	8263	512	489
glm-5.2	4614	512	509
glm-5.2	4162	226	176
glm-5.2	2638	454	360
glm-5.2	3140	512	509
glm-5.2	1803	275	187
glm-5.2	432	232	160
glm-5.2	9557	440	347
glm-5.2	5944	512	438
glm-5.2	2599	268	179
glm-5.2	9864	191	151
glm-5.2	1782	361	261
glm-5.2	7345	352	250
glm-5.2	3329	444	379
glm-5.2	3049	512	509
glm-5.2	3379	220	147
glm-5.2	10115	325	232
glm-5.2	398	111	55
glm-5.2	426	307	222
glm-5.2	8168	512	507
glm-5.2	478	328	245
glm-5.2	2222	471	375
glm-5.2	3368	512	504
glm-5.2	1674	220	124
glm-5.2	2645	267	179
glm-5.2	1866	512	449
glm-5.2	8894	512	462
glm-5.2	2036	512	430
glm-5.2	2084	280	218
glm-5.2	414	244	188
glm-5.2	9669	390	287
glm-5.2	3295	496	374
glm-5.2	3687	512	506
glm-5.2	1689	207	126
glm-5.2	3600	512	509
glm-5.2	2457	433	385
glm-5.2	10478	272	208
glm-5.2	1979	411	350
glm-5.2	3744	380	293
glm-5.2	2815	312	254
glm-5.2	4006	512	510
glm-5.2	5084	512	509
glm-5.2	2233	232	152
glm-5.2	10636	510	431
glm-5.2	4145	262	202
glm-5.2	416	271	177
glm-5.2	4325	512	512
glm-5.2	6568	512	508
glm-5.2	416	273	221
glm-5.2	1771	512	465
glm-5.2	11420	512	506
glm-5.2	4517	512	511
glm-5.2	8052	512	510
glm-5.2	3086	512	505
glm-5.2	4644	512	480
glm-5.2	1679	512	503
glm-5.2	12130	455	354
glm-5.2	4833	512	510
glm-5.2	4358	512	471
glm-5.2	9536	512	509
glm-5.2	2897	512	510
glm-5.2	436	277	216
glm-5.2	4993	512	507
glm-5.2	5666	336	216
glm-5.2	1813	376	271
glm-5.2	5149	512	506
glm-5.2	4115	512	506
glm-5.2	11020	512	509
glm-5.2	5312	512	507
glm-5.2	6082	379	276
glm-5.2	2634	480	400
glm-5.2	5465	512	505
glm-5.2	5333	512	500
glm-5.2	6479	251	177
glm-5.2	3411	232	160
glm-5.2	12504	512	506
glm-5.2	5631	512	509
glm-5.2	400	241	192
glm-5.2	420	225	153
glm-5.2	5781	512	510
glm-5.2	6551	512	509
glm-5.2	13988	512	509
glm-5.2	1674	512	506
glm-5.2	1783	288	188
glm-5.2	6097	90	15
glm-5.2	5950	512	510
glm-5.2	2081	289	208
glm-5.2	2905	512	507
glm-5.2	2359	138	91
glm-5.2	6269	512	511
glm-5.2	15472	512	507
glm-5.2	7769	488	380
glm-5.2	6486	512	508
glm-5.2	4136	512	505
glm-5.2	2605	398	338
glm-5.2	16956	512	509
glm-5.2	6588	512	509
glm-5.2	8087	461	399
glm-5.2	5367	512	507
glm-5.2	6802	512	510
glm-5.2	420	462	396
glm-5.2	6598	512	506
glm-5.2	18440	512	511
glm-5.2	6907	512	505
glm-5.2	8349	512	507
glm-5.2	7118	512	506
glm-5.2	8553	269	204
glm-5.2	1750	381	252
glm-5.2	7829	512	507
glm-5.2	19924	512	473
glm-5.2	7226	512	486
glm-5.2	7434	512	509
glm-5.2	414	243	173
glm-5.2	2106	274	215
glm-5.2	21445	512	510
glm-5.2	9060	512	508
glm-5.2	1712	369	264
glm-5.2	7750	512	510
glm-5.2	2391	512	506
glm-5.2	7570	512	427
glm-5.2	2021	222	158
glm-5.2	22929	512	509
glm-5.2	10291	512	505
glm-5.2	2273	154	102
glm-5.2	7971	370	267
glm-5.2	2621	380	319
glm-5.2	8066	512	503
glm-5.2	11522	512	510
glm-5.2	402	158	94
glm-5.2	24413	512	510
glm-5.2	440	342	256
glm-5.2	1763	346	238
glm-5.2	2905	464	385
glm-5.2	12753	512	503
glm-5.2	8382	512	508
glm-5.2	25897	512	510
glm-5.2	1829	473	347
glm-5.2	2044	293	218
glm-5.2	424	317	249
glm-5.2	13984	512	509
glm-5.2	8698	512	503
